"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2020,"Baseline","YORK",3974611.73107389,20068375.1973183
2021,"Baseline","YORK",3969510.85406146,20051369.8231588
2022,"Baseline","YORK",3964409.97704902,20034364.4489993
2023,"Baseline","YORK",3959309.10003659,20017359.0748398
2024,"Baseline","YORK",3954208.22302416,20000353.7006803
2025,"Baseline","YORK",3949107.34601172,19983348.3265209
2026,"Baseline","YORK",3944006.46899929,19966342.9523614
2027,"Baseline","YORK",3938905.59198685,19949337.5782019
2028,"Baseline","YORK",3933804.71497441,19932332.2040424
2029,"Baseline","YORK",3928703.83796198,19915326.8298829
2030,"Baseline","YORK",3923602.96094954,19898321.4557234
2031,"Baseline","YORK",3918502.08393711,19881316.0815639
2032,"Baseline","YORK",3913401.20692467,19864310.7074045
2033,"Baseline","YORK",3908300.32991224,19847305.333245
2034,"Baseline","YORK",3903199.45289981,19830299.9590855
2035,"Baseline","YORK",3898098.57588737,19813294.584926
2036,"Baseline","YORK",3892997.69887494,19796289.2107665
2037,"Baseline","YORK",3887896.8218625,19779283.836607
2038,"Baseline","YORK",3882795.94485007,19762278.4624476
2039,"Baseline","YORK",3877695.06783763,19745273.0882881
2040,"Baseline","YORK",3872594.1908252,19728267.7141286
2041,"Baseline","YORK",3867493.31381276,19711262.3399691
2042,"Baseline","YORK",3862392.43680033,19694256.9658096
2043,"Baseline","YORK",3857291.55978789,19677251.5916501
2044,"Baseline","YORK",3852190.68277546,19660246.2174906
2045,"Baseline","YORK",3847089.80576302,19643240.8433312
2046,"Baseline","YORK",3841988.92875059,19626235.4691717
2047,"Baseline","YORK",3836888.05173816,19609230.0950122
2048,"Baseline","YORK",3831787.17472572,19592224.7208527
2049,"Baseline","YORK",3826686.29771328,19575219.3466932
2050,"Baseline","YORK",3821585.42070085,19558213.9725337
2051,"Baseline","YORK",3816484.54368842,19541208.5983743
2052,"Baseline","YORK",3811383.66667598,19524203.2242148
2053,"Baseline","YORK",3806282.78966355,19507197.8500553
2054,"Baseline","YORK",3801181.91265111,19490192.4758958
2055,"Baseline","YORK",3796081.03563868,19473187.1017363
2056,"Baseline","YORK",3790980.15862624,19456181.7275768
2057,"Baseline","YORK",3785879.28161381,19439176.3534173
2058,"Baseline","YORK",3780778.40460137,19422170.9792579
2059,"Baseline","YORK",3775677.52758894,19405165.6050984
2060,"Baseline","YORK",3770576.65057651,19388160.2309389
2061,"Baseline","YORK",3765475.77356407,19371154.8567794
2062,"Baseline","YORK",3760374.89655163,19354149.4826199
2063,"Baseline","YORK",3755274.0195392,19337144.1084604
2064,"Baseline","YORK",3750173.14252677,19320138.734301
2065,"Baseline","YORK",3745072.26551433,19303133.3601415
2066,"Baseline","YORK",3739971.3885019,19286127.985982
2067,"Baseline","YORK",3734870.51148946,19269122.6118225
2068,"Baseline","YORK",3729769.63447703,19252117.237663
2069,"Baseline","YORK",3724668.75746459,19235111.8635035
2070,"Baseline","YORK",3719567.88045216,19218106.489344
2071,"Baseline","YORK",3714467.00343972,19201101.1151846
2072,"Baseline","YORK",3709366.12642728,19184095.7410251
2073,"Baseline","YORK",3704265.24941485,19167090.3668656
2074,"Baseline","YORK",3699164.37240242,19150084.9927061
2075,"Baseline","YORK",3694063.49538998,19133079.6185466
2076,"Baseline","YORK",3688962.61837755,19116074.2443871
2077,"Baseline","YORK",3683861.74136512,19099068.8702277
